date_time,elapsed_seconds,posix_timestamp,timestamp,distance,enhanced_speed,enhanced_altitude,position_lat,position_long,have_gps_data,have_hrm_data,have_stryd_data,hrm_vertical_oscillation,hrm_stance_time_percent,hrm_stance_time,hrm_vertical_ratio,hrm_stance_time_balance,hrm_step_length,hrm_heart_rate,hrm_cadence,hrm_fractional_cadence,hrm_cadence_sum,stryd_power,stryd_cadence,stryd_stance_time,stryd_vertical_oscillation,stryd_air_power,stryd_form_power,stryd_leg_spring_stiffness,activity_type,subject
2023-03-08T19:39:11Z,91,1678304351,1047238751,329.15,3.667,258.79999999999995,467323866,-1032263288,1,1,1,113.2,36.5,267,8,50.53,1374,158,81,0.5,81.5,184,82,242,8.5,5,59,7.125,1,V01
2023-03-08T19:39:12Z,92,1678304352,1047238752,333.15,3.667,258.6,467323449,-1032263157,1,1,1,113.2,36.25,266,8,50.53,1374,157,82,0,82,185,82,242,8.5,5,59,7,1,V01
2023-03-08T19:39:13Z,93,1678304353,1047238753,336.86,3.667,258.20000000000005,467323078,-1032262968,1,1,1,113.2,35.75,262,8.09,50.53,1372,156,82,0,82,186,82,242,8.5,5,59,7,1,V01
2023-03-08T19:39:14Z,94,1678304354,1047238754,340.54,3.658,257.79999999999995,467322747,-1032262689,1,1,1,115,35.5,261,8.09,50.53,1372,157,82,0,82,187,81,244,8.375,6,59,6.875,1,V01
2023-03-08T19:39:15Z,95,1678304355,1047238755,344.27,3.658,257.4,467322469,-1032262317,1,1,1,115,35.5,260,8.09,50.43,1368,160,82,0,82,190,82,246,8.25,6,59,6.75,1,V01
2023-03-08T19:39:16Z,96,1678304356,1047238756,347.8,3.658,257.20000000000005,467322295,-1032261884,1,1,1,115,35.5,260,8,50.34,1363,159,82,0,82,193,82,246,8.25,6,58,6.75,1,V01
2023-03-08T19:39:17Z,97,1678304357,1047238757,351.89,3.658,257,467322164,-1032261345,1,1,1,115,35.5,260,8,50.34,1359,159,82,0,82,196,82,246,8.375,6,58,6.875,1,V01
2023-03-08T19:39:18Z,98,1678304358,1047238758,356.14,3.658,256.79999999999995,467322111,-1032260762,1,1,1,115,35.5,260,8,50.43,1359,159,82,0,82,197,82,246,8.375,6,58,6.875,1,V01
2023-03-08T19:39:19Z,99,1678304359,1047238759,361.18,3.667,256.6,467322089,-1032260062,1,1,1,112.2,35.25,256,8,50.43,1367,159,82,0.5,82.5,201,82,246,8.25,6,58,6.875,1,V01
2023-03-08T19:39:20Z,100,1678304360,1047238760,365.28,3.676,256.6,467322056,-1032259497,1,1,1,112.2,35.5,257,7.9,50.43,1388,158,82,0.5,82.5,201,83,246,8.375,6,58,6.875,1,V01
2023-03-08T19:39:21Z,101,1678304361,1047238761,369.15,3.676,256.4,467322030,-1032258962,1,1,1,112.2,35.5,257,7.81,50.43,1390,157,82,0.5,82.5,202,83,246,8.25,6,58,6.875,1,V01
2023-03-08T19:39:22Z,102,1678304362,1047238762,372.94,3.676,255.60000000000002,467322049,-1032258434,1,1,1,111.2,35.5,257,7.81,50.43,1390,157,82,0.5,82.5,201,83,246,8.25,6,58,7,1,V01
2023-03-08T19:39:23Z,103,1678304363,1047238763,376.98,3.686,255.20000000000005,467322090,-1032257872,1,1,1,111.2,35.5,257,7.81,50.43,1396,158,82,0.5,82.5,201,83,246,8.125,6,58,7,1,V01
2023-03-08T19:39:24Z,104,1678304364,1047238764,381.23,3.686,254.79999999999995,467322010,-1032257296,1,1,1,111.2,35,254,7.81,50.34,1405,159,82,0.5,82.5,201,83,246,8.125,6,58,7,1,V01
2023-03-08T19:39:25Z,105,1678304365,1047238765,385.46,3.695,254.39999999999998,467321998,-1032256710,1,1,1,111.2,35,254,7.81,50.21,1411,159,82,0.5,82.5,201,83,246,8.125,6,58,7,1,V01
2023-03-08T19:39:26Z,106,1678304366,1047238766,389.4,3.704,254.20000000000005,467322008,-1032256166,1,1,1,112.2,35.25,256,7.81,50.12,1415,158,82,0.5,82.5,199,83,242,8.125,10,58,7,1,V01
2023-03-08T19:39:27Z,107,1678304367,1047238767,393.32,3.714,254,467321998,-1032255625,1,1,1,109.2,35.5,257,7.81,50.12,1415,159,82,0.5,82.5,199,83,244,8.125,10,58,7,1,V01
2023-03-08T19:39:28Z,108,1678304368,1047238768,397.1,3.714,253.79999999999995,467322017,-1032255104,1,1,1,110.2,35.25,255,7.81,50.12,1415,159,83,0,83,198,83,244,8.125,10,58,7,1,V01
2023-03-08T19:39:29Z,109,1678304369,1047238769,400.74,3.723,253.60000000000002,467322033,-1032254601,1,1,1,110.2,35.5,257,7.81,50.12,1415,158,83,0,83,198,83,244,8.125,10,58,7,1,V01
2023-03-08T19:39:30Z,110,1678304370,1047238770,404.17,3.723,253.39999999999998,467322060,-1032254128,1,1,1,110.2,35.75,258,7.59,50.03,1405,158,83,0,83,199,82,248,8.25,10,58,7,1,V01
2023-03-08T19:39:31Z,111,1678304371,1047238771,407.87,3.732,253,467322069,-1032253618,1,1,1,111.2,35.75,259,7.59,50.03,1405,158,82,0.5,82.5,200,82,248,8.25,10,58,7,1,V01
